Gene Name,KO1,WT1,KO3,WT3
Asah2,2.774694,0.184866,8.685909,1.369208
Asap2,2.065659,0.420159,6.14004,0.529617
Asb17os,2.115292,0.883681,0.67996,0
Ascl2,4.70108,0.23934,8.106797,0.414982
Asf1b,205.729019,54.700268,165.406403,65.159767
Asic4,2.758218,0.261355,4.395563,0.076252
Asph,7.760971,0.471254,15.141482,2.64758
Asphd2,5.3823,0.115817,5.052933,0
Ass1,118.446457,5.884284,241.176712,38.927055
Atad3a,61.741249,8.545145,75.963966,13.144035
Atad5,8.789845,0.587365,16.727646,0.888237
Atf3,90.782013,0.790069,53.484222,1.753633
Atf4,263.424713,84.791145,216.110229,85.089622
Atg101,71.439507,9.550754,55.483242,12.50099
Atg14,20.848341,4.927633,23.43709,5.898989
Atg16l1,36.432076,3.231873,47.886066,5.80805
Atg4a,6.244371,0.595195,8.519939,0.808451
Atg5,23.426504,2.950212,24.505936,3.284191
Atic,45.594105,1.865435,69.449745,4.098893
Atm,7.392418,0.836521,20.673054,2.704233
Atp11b,96.844543,36.970699,139.270737,55.40757
Atp11c,6.336801,1.368311,13.296704,1.449912
Atp13a1,70.704865,23.495596,84.934547,29.346861
Atp13a2,59.903797,7.804512,114.604309,17.190863
Atp13a4,5.624666,0.486806,10.600809,0.608085
Atp1a1,208.551743,9.350595,444.519653,36.972054
Atp1a2,31.095955,1.833533,74.552551,6.289742
Atp1b1,41.623688,3.932465,81.559677,5.215021
Atp1b2,77.453239,2.50244,139.982742,5.038496
Atp2b1,16.401037,0.736635,42.312016,2.74018
Atp5g2,326.390533,33.327015,263.523743,40.276443
Atp5g3,697.714783,134.922211,571.778687,202.301407
Atp5l,309.334412,104.931435,203.16066,89.115852
Atp6ap1,56.657272,3.554478,84.062279,6.838669
Atp6ap2,32.340401,2.852753,38.061832,3.408831
Atp6v0a1,37.355385,14.533626,70.634171,19.977957
Atp6v0c,432.016388,133.158905,383.491455,156.887802
Atp8b2,40.03479,4.335787,98.390457,7.473854
Atpsckmt,22.997656,2.267375,28.549061,2.452958
Atraid,141.035812,14.240939,124.305405,24.319202
Atrn,11.061846,3.34485,24.794329,6.536147
Atrnl1,5.752039,0.964929,15.979836,1.81855
Atrx,9.747131,0.803351,31.297888,2.378655
Atxn1,1.602712,0.460454,4.988301,0.827491
AU015836,46.26944,1.537905,79.736404,4.826763
AU020206,18.7318,0.986864,34.332779,2.871423
AU021092,61.163227,2.183434,155.632706,20.662966
Auts2,10.644037,0.55018,30.158228,2.451558
Avl9,12.291699,6.629909,25.600897,7.3211
Avpr1a,2.479302,0.041802,2.547651,0.237384
Axin2,6.909655,1.229167,12.736341,2.168534
Axl,49.541142,1.951944,111.291275,6.652304
B020017C02Rik,2.805097,0,5.874977,0.197112
B230217C12Rik,2.857067,0.297822,4.125115,0.472124
B230219D22Rik,14.98023,3.886853,28.49506,6.514664
B230354K17Rik,5.622626,3.112133,15.949136,5.291402
B2m,171.377686,22.919569,176.094696,29.016056
B3galt6,10.566769,1.616055,12.98629,2.415403
B3gat3,45.697147,7.934848,58.223515,12.245193
B3gnt3,1.180541,0.138183,4.10085,0.55029
B3gnt7,1.380685,0.043227,1.6902,0.051195
B4galt1,28.391096,5.988269,46.641293,7.316667
B4galt2,56.517677,31.415983,68.241882,44.16362
B4galt3,35.107704,7.584471,62.481491,9.248665
B4galt6,4.151742,0.363225,8.422451,0.752127
B630019K06Rik,7.701754,0.213552,11.216582,0.946527
Bach1,5.970928,0.188813,10.359184,0.704414
Bag2,22.989288,2.079065,40.108273,5.10452
Bahcc1,8.857552,0.652931,21.889254,1.923537
Bahd1,43.788029,3.197254,87.535103,8.959423
Baiap2l1,6.175973,0.793638,13.106939,1.472405
Barx1,2.557973,0.300666,3.479292,0
Basp1,141.281143,3.199339,170.805191,7.072646
Bax,112.530464,9.29545,83.14817,12.743026
Baz1b,55.177662,9.211966,80.81765,15.469402
Bbox1,4.331021,0.042485,8.163936,0.863621
BC003965,12.652238,4.575168,15.141905,3.198468
BC004004,78.356247,9.393848,50.48864,18.495508
BC021767,10.79053,6.12595,18.116442,6.641569
BC029722,13.060781,2.973567,22.004267,5.951794
BC034090,2.998818,1.167718,3.645463,0.592957
BC037039,0.686434,0.139758,0.276572,0
BC051226,36.121132,3.747833,29.626966,3.759361
BC055324,61.075485,6.506699,74.214996,7.085263
BC065397,0.831145,0.355478,4.49794,0.286019
Bcam,10.229166,0.313862,9.723513,1.790014
Bcap31,68.359459,4.078621,81.057739,8.041109
Bcar3,19.485189,7.071542,31.865118,9.10109
Bcat2,106.658051,18.913044,190.229218,23.094765
Bccip,66.542809,23.009323,65.519012,23.275452
Bckdhb,16.218891,0.906986,18.060518,1.67308
Bckdk,18.358715,1.355238,26.653772,2.438709
Bcl10,37.376076,9.870611,30.928501,11.935604
Bcl2l2,32.180546,3.685552,71.501083,7.071848
Bcl3,27.081627,1.282544,17.479984,3.367875
Bcl6,3.086941,0.153468,4.692444,0.417437
Bcl7a,2.137434,0.263279,4.607225,0.40038
Bcl9,18.282234,2.101438,42.027504,4.10336
Bcl9l,15.055423,0.422612,42.063374,2.727203
Bclaf3,8.127789,0.389387,15.858334,0.765041
Bcor,2.080322,0.242349,3.881522,0.619371
Bcs1l,23.550022,4.561657,22.742729,5.052208
Bdp1,10.946159,3.224918,21.191116,5.49724
Begain,23.468121,2.469036,23.580086,4.252517
Bend3,4.001524,1.274381,7.035803,1.566685
Bend4,18.245762,0.819016,48.494854,1.960157
Bend6,2.808904,0.306666,5.001842,0.350705
Bex1,22.063227,0.494047,16.612206,1.077938
Bex2,38.094971,0.693678,34.430157,0.746942
Bex3,65.187614,2.220622,58.389629,7.532631
Bex4,108.390556,3.824886,103.761093,8.200471
Bfsp1,3.092626,0.2396,2.848743,0.317934
Bgn,25.072493,2.383432,22.383375,4.620762
Bhlhb9,12.239068,0.462521,21.179003,1.834064
Bhlhe40,49.722336,1.304674,52.375423,5.066154
Bhmt,68.194962,8.510551,251.13736,28.516291
Bicdl1,30.541691,5.969294,33.062408,6.918707
Bicra,2.989045,0.476903,7.378097,0.576131
Bik,15.95476,1.415355,14.819787,2.214017
Bin1,12.590316,0.895595,13.026986,3.020575
Birc3,29.987194,0.348885,31.98455,1.216003
Birc6,23.843796,12.97848,51.483994,11.538731
Bivm,5.358239,0.714229,10.866764,1.616697
Blcap,64.396515,17.262428,73.923027,18.32625
Blmh,55.97134,11.629096,61.60376,14.121199
Blvrb,32.586586,0.903463,28.754585,3.514235
Bmf,2.798635,0.190061,3.793412,0.402681
Bmp1,6.659009,0.63752,7.012538,1.206797
Bmp2,0.980659,0,0.58909,0
Bmp4,2.550222,0.165537,3.540386,0.116045
Bmp7,4.389364,0.315394,5.286891,0.535191
Bmpr1a,24.723253,3.682358,38.406052,7.158683
Bmpr2,4.572367,0.373295,11.534333,0.717379
Bmt2,20.782438,4.645397,26.898098,7.524359
Bmyc,13.919509,0.33908,16.824318,1.322309
Bnc1,4.347139,0.198588,9.280924,0.2775
Bnc2,5.199319,1.701632,15.715634,2.304606
Bnip3,62.216511,11.89066,66.141693,13.429619
Bok,18.719025,0.921012,21.909542,1.186899
Borcs5,30.019728,8.435472,31.864155,9.893694
Bpifb5,28.003197,1.720051,83.036682,16.060947
Brca1,12.26977,3.154972,21.657673,4.214689
Brcc3,4.688509,0.610823,8.795745,0.946864
Bri3,142.685745,40.425507,122.198013,41.716934
Bri3bp,18.425486,2.382522,16.632771,2.01311
Brip1,4.892021,0.906757,6.478681,0.746324
Brip1os,5.242126,1.827091,7.725293,3.04982
Brk1,293.479309,72.780319,225.298431,77.448563
Brms1l,24.514738,8.549756,41.015137,11.571244
Brwd3,2.812913,0.468043,8.7716,1.183007
Bst2,44.219391,0.647098,50.504967,8.178185
Btbd18,25.824583,2.183871,35.292732,2.8966
Btbd3,5.968541,0.258501,10.372628,1.103831
